Longitude,Latitude
5.03125,-34.9756
5.09375,-34.9756
5.15625,-34.9756
5.21875,-34.9756
5.28125,-34.9756
5.34375,-34.9756
5.40625,-34.9756
5.46875,-34.9756
5.53125,-34.9756
5.59375,-34.9756
5.65625,-34.9756
5.71875,-34.9756
5.78125,-34.9756
5.84375,-34.9756
5.90625,-34.9756
5.96875,-34.9756
6.03125,-34.9756
6.09375,-34.9756
6.15625,-34.9756
6.21875,-34.9756
6.28125,-34.9756
6.34375,-34.9756
6.40625,-34.9756
6.46875,-34.9756
6.53125,-34.9756
6.59375,-34.9756
6.65625,-34.9756
6.71875,-34.9756
6.78125,-34.9756
6.84375,-34.9756
6.90625,-34.9756
6.96875,-34.9756
7.03125,-34.9756
7.09375,-34.9756
7.15625,-34.9756
7.21875,-34.9756
7.28125,-34.9756
7.34375,-34.9756
7.40625,-34.9756
7.46875,-34.9756
7.53125,-34.9756
7.59375,-34.9756
7.65625,-34.9756
7.71875,-34.9756
7.78125,-34.9756
7.84375,-34.9756
7.90625,-34.9756
7.96875,-34.9756
8.03125,-34.9756
8.09375,-34.9756
8.15625,-34.9756
8.21875,-34.9756
8.28125,-34.9756
8.34375,-34.9756
8.40625,-34.9756
8.46875,-34.9756
8.53125,-34.9756
8.59375,-34.9756
8.65625,-34.9756
8.71875,-34.9756
8.78125,-34.9756
8.84375,-34.9756
8.90625,-34.9756
8.96875,-34.9756
9.03125,-34.9756
9.09375,-34.9756
9.15625,-34.9756
9.21875,-34.9756
9.28125,-34.9756
9.34375,-34.9756
9.40625,-34.9756
9.46875,-34.9756
9.53125,-34.9756
9.59375,-34.9756
9.65625,-34.9756
9.71875,-34.9756
9.78125,-34.9756
9.84375,-34.9756
9.90625,-34.9756
9.96875,-34.9756
10.03125,-34.9756
10.09375,-34.9756
10.15625,-34.9756
10.21875,-34.9756
10.28125,-34.9756
10.34375,-34.9756
10.40625,-34.9756
10.46875,-34.9756
10.53125,-34.9756
10.59375,-34.9756
10.65625,-34.9756
10.71875,-34.9756
10.78125,-34.9756
10.84375,-34.9756
10.90625,-34.9756
10.96875,-34.9756
11.03125,-34.9756
11.09375,-34.9756
11.15625,-34.9756
11.21875,-34.9756
11.28125,-34.9756
11.34375,-34.9756
11.40625,-34.9756
