Longitude,Latitude
10.0,-35.0
10.03125,-35.0
10.0625,-35.0
10.09375,-35.0
10.125,-35.0
10.15625,-35.0
10.1875,-35.0
10.21875,-35.0
10.25,-35.0
10.28125,-35.0
10.3125,-35.0
10.34375,-35.0
10.375,-35.0
10.40625,-35.0
10.4375,-35.0
10.46875,-35.0
10.5,-35.0
10.53125,-35.0
10.5625,-35.0
10.59375,-35.0
10.625,-35.0
10.65625,-35.0
10.6875,-35.0
10.71875,-35.0
10.75,-35.0
10.78125,-35.0
10.8125,-35.0
10.84375,-35.0
10.875,-35.0
10.90625,-35.0
10.9375,-35.0
10.96875,-35.0
11.0,-35.0
11.03125,-35.0
11.0625,-35.0
11.09375,-35.0
11.125,-35.0
11.15625,-35.0
11.1875,-35.0
11.21875,-35.0
11.25,-35.0
11.28125,-35.0
11.3125,-35.0
11.34375,-35.0
11.375,-35.0
11.40625,-35.0
11.4375,-35.0
11.46875,-35.0
11.5,-35.0
11.53125,-35.0
11.5625,-35.0
11.59375,-35.0
11.625,-35.0
11.65625,-35.0
11.6875,-35.0
11.71875,-35.0
11.75,-35.0
11.78125,-35.0
11.8125,-35.0
11.84375,-35.0
11.875,-35.0
11.90625,-35.0
11.9375,-35.0
11.96875,-35.0
12.0,-35.0
12.03125,-35.0
12.0625,-35.0
12.09375,-35.0
12.125,-35.0
12.15625,-35.0
12.1875,-35.0
12.21875,-35.0
12.25,-35.0
12.28125,-35.0
12.3125,-35.0
12.34375,-35.0
12.375,-35.0
12.40625,-35.0
12.4375,-35.0
12.46875,-35.0
12.5,-35.0
12.53125,-35.0
12.5625,-35.0
12.59375,-35.0
12.625,-35.0
12.65625,-35.0
12.6875,-35.0
12.71875,-35.0
12.75,-35.0
12.78125,-35.0
12.8125,-35.0
12.84375,-35.0
12.875,-35.0
12.90625,-35.0
12.9375,-35.0
12.96875,-35.0
13.0,-35.0
13.03125,-35.0
13.0625,-35.0
13.09375,-35.0
13.125,-35.0
13.15625,-35.0
13.1875,-35.0
13.21875,-35.0
13.25,-35.0
13.28125,-35.0
13.3125,-35.0
13.34375,-35.0
13.375,-35.0
13.40625,-35.0
13.4375,-35.0
13.46875,-35.0
13.5,-35.0
13.53125,-35.0
13.5625,-35.0
13.59375,-35.0
13.625,-35.0
13.65625,-35.0
13.6875,-35.0
13.71875,-35.0
13.75,-35.0
13.78125,-35.0
13.8125,-35.0
13.84375,-35.0
13.875,-35.0
13.90625,-35.0
13.9375,-35.0
13.96875,-35.0
14.0,-35.0
14.03125,-35.0
14.0625,-35.0
14.09375,-35.0
14.125,-35.0
14.15625,-35.0
14.1875,-35.0
14.21875,-35.0
14.25,-35.0
14.28125,-35.0
14.3125,-35.0
14.34375,-35.0
14.375,-35.0
14.40625,-35.0
14.4375,-35.0
14.46875,-35.0
14.5,-35.0
14.53125,-35.0
14.5625,-35.0
14.59375,-35.0
14.625,-35.0
14.65625,-35.0
14.6875,-35.0
14.71875,-35.0
14.75,-35.0
14.78125,-35.0
14.8125,-35.0
14.84375,-35.0
14.875,-35.0
14.90625,-35.0
14.9375,-35.0
14.96875,-35.0
15.0,-35.0
15.03125,-35.0
15.0625,-35.0
15.09375,-35.0
15.125,-35.0
15.15625,-35.0
15.1875,-35.0
15.21875,-35.0
15.25,-35.0
15.28125,-35.0
15.3125,-35.0
15.34375,-35.0
15.375,-35.0
15.40625,-35.0
15.4375,-35.0
15.46875,-35.0
15.5,-35.0
15.53125,-35.0
15.5625,-35.0
15.59375,-35.0
15.625,-35.0
15.65625,-35.0
15.6875,-35.0
15.71875,-35.0
15.75,-35.0
15.78125,-35.0
15.8125,-35.0
15.84375,-35.0
15.875,-35.0
15.90625,-35.0
15.9375,-35.0
15.96875,-35.0
16.0,-35.0
16.03125,-35.0
16.0625,-35.0
16.09375,-35.0
16.125,-35.0
16.15625,-35.0
16.1875,-35.0
16.21875,-35.0
16.25,-35.0
16.28125,-35.0
16.3125,-35.0
16.34375,-35.0
16.375,-35.0
16.40625,-35.0
16.4375,-35.0
16.46875,-35.0
16.5,-35.0
16.53125,-35.0
16.5625,-35.0
16.59375,-35.0
16.625,-35.0
16.65625,-35.0
16.6875,-35.0
16.71875,-35.0
16.75,-35.0
16.78125,-35.0
16.8125,-35.0
16.84375,-35.0
16.875,-35.0
16.90625,-35.0
16.9375,-35.0
